PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,ESENCIA,3
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,GRANICA,1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,7
Argentina,2012,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,UNIVERSIDAD PEDAGOGICA DE BUENOS AIRES,1
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,ANTROPOSOFICA,15
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,CERTEZA ARGENTINA,3
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,89
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,PENIEL,31
Argentina,2012,200 - Religión,EDITORIAL COMERCIAL,PROMETEO EDITORES,3
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,ANTROPOSOFICA,6
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,EDITORIAL GUADAL,8
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,4
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,GRUPO PAIDOS,17
Argentina,2012,300 - Ciencias sociales,EDITORIAL COMERCIAL,SIGLO XXI EDITORES,11
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,EDITORIAL DE LA UNC,1
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD DE PALERMO - UP,8
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE QUILMES,2
Argentina,2012,400  - Lenguas,EDITORIAL COMERCIAL,LOSADA,1
Argentina,2012,400 - Lenguas,EDITORIAL COMERCIAL,AZ EDITORA S.A.,3
Argentina,2012,400 - Lenguas,EDITORIAL COMERCIAL,ESENCIA,4
Argentina,2012,400 - Lenguas,EDITORIAL COMERCIAL,GALERNA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,ANTROPOSOFICA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,CATAPULTA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,EDITORIAL GUADAL,1
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,EDITORIAL COMERCIAL,GRUPO PAIDOS,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,ANTROPOSOFICA,8
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,EDITORIAL MEDICA PANAMERICANA,12
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,GRUPO PAIDOS,9
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,INTER-MEDICA,6
Argentina,2012,600 - Tecnología (Ciencias aplicadas),EDITORIAL COMERCIAL,READER'S DIGEST ARGENTINA S.R.L.,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CYPRES,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,GRUPO PAIDOS,1
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,LARP EDITORES,2
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,OVNI PRESS,41
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,EDITORIAL COMERCIAL,V & R EDITORAS S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,BARCELBAIRES EDICIONES S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CATAPULTA,23
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,EDITORIAL COMERCIAL,CYPRES,5
