PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,IDIOMA_ORIGEN,NOMBRE_DEWEY,CANTIDAD,TOP_EDITORIALES
Argentina,2012,0 - Generalidades,AMBAS,LENGUA NO DETERMINADA,Crónicas y temas especiales,2,EDITORIAL SUDAMERICANA::1~~ESENCIA::1
Argentina,2012,0 - Generalidades,AMBAS,LENGUA NO DETERMINADA,Periodismo,1,ESENCIA::1
Argentina,2012,0 - Generalidades,AMBAS,LENGUA NO DETERMINADA,Programación. programas. datos de computadores,3,GRANICA::1~~GRUPO PAIDOS::1~~UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO::1
Argentina,2012,0 - Generalidades,AMBAS,LENGUA NO DETERMINADA,SIN IDENTIFICAR,1,ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,Crónicas y temas especiales,2,EDITORIAL SUDAMERICANA::1~~ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,Periodismo,1,ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,Programación. programas. datos de computadores,2,GRANICA::1~~GRUPO PAIDOS::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,SIN IDENTIFICAR,1,ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL UNIVERSITARIA,LENGUA NO DETERMINADA,Programación. programas. datos de computadores,1,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO::1
Argentina,2012,0 - Generalidades,TODOS,LENGUA NO DETERMINADA,Crónicas y temas especiales,2,EDITORIAL SUDAMERICANA::1~~ESENCIA::1
Argentina,2012,0 - Generalidades,TODOS,LENGUA NO DETERMINADA,Periodismo,1,ESENCIA::1
Argentina,2012,0 - Generalidades,TODOS,LENGUA NO DETERMINADA,Programación. programas. datos de computadores,3,GRANICA::1~~GRUPO PAIDOS::1~~UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO::1
Argentina,2012,0 - Generalidades,TODOS,LENGUA NO DETERMINADA,SIN IDENTIFICAR,1,ESENCIA::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Epistemología (Teoría del conocimiento),1,DEL SOL::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Fenómenos paranormales,2,KIER::2
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Filosofía antigua. medieval. oriental,2,LAS CUARENTA::1~~LOSADA::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Filosofía de las Islas Británicas,1,LOSADA::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Filosofía moderna occidental,23,CACTUS::3~~FONDO DE CULTURA ECONOMICA MEXICO::3~~GODOT ARGENTINA::3~~TERRAMAR::3~~SIGLO XXI EDITORES::2
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Filosofía y teoría de la psicología,1,GRUPO PAIDOS::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,Psicología,14,GRUPO PAIDOS::5~~SIGLO XXI EDITORES::5~~AMORRORTU::1~~ANTROPOSOFICA::1~~EDITORIAL SUDAMERICANA::1
