PAIS,ANO,DEWEY PRINCIPAL,ESTADO_TRADUCCION,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,NO TRADUCIDO,ARTE GRAFICO EDITORIAL ARGENTINO,30
Argentina,2012,0 - Generalidades,NO TRADUCIDO,ATLANTIDA,49
Argentina,2012,0 - Generalidades,NO TRADUCIDO,CENTRO TECNOLOGICO DE ENTRENAMIENTO Y CAPACITACION - CTEC,100
Argentina,2012,0 - Generalidades,NO TRADUCIDO,EDITORIAL SUDAMERICANA,74
Argentina,2012,0 - Generalidades,NO TRADUCIDO,FOX ANDINA S.A.,46
Argentina,2012,0 - Generalidades,TRADUCIDO,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,TRADUCIDO,ESENCIA,3
Argentina,2012,0 - Generalidades,TRADUCIDO,GRANICA,1
Argentina,2012,0 - Generalidades,TRADUCIDO,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,TRADUCIDO,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",59
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,EDICION DEL AUTOR,71
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,EDITORIAL SUDAMERICANA,75
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,EL ARTE DE VIVIR,73
Argentina,2012,100 - Filosofía y psicología,NO TRADUCIDO,ESENCIA,66
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,TRADUCIDO,SIGLO XXI EDITORES,7
Argentina,2012,200 - Religión,NO TRADUCIDO,AGAPE LIBROS,41
Argentina,2012,200 - Religión,NO TRADUCIDO,EDICION DEL AUTOR,45
