ANO,DEWEY PRINCIPAL,TIPO_AGENTE,REGION,IDIOMA DE ORIGEN,CANTIDAD,TOP_DESTINOS,TOP_EDITORIALES,TOP_DEWEYS
2010,0 - Generalidades,AMBAS,BRASIL,ALEMÁN,31,PORTUGUÉS::31,EDITORA WMF MARTINS FONTES::10~~CARIMBRAS INDUSTRIA E COMERCIO DE BRINQUEDOS LTDA::6~~L&PM EDITORES::3~~MARTINS EDITORA LIVRARIA LTDA::3~~EDITORA 8INVERSO LTDA-ME::2,
2010,0 - Generalidades,AMBAS,BRASIL,COREANO,3,PORTUGUÉS::3,"NACL - NUCLEO DE ARTES, COMUNICACAO E LITERATURA LTDA::3",
2010,0 - Generalidades,AMBAS,BRASIL,ESPAÑOL,67,PORTUGUÉS::67,RAI EDITORA E PROJETOS EDITORIAIS LTDA-ME::18~~EDITORA ORIGINAL LTDA-EPP::7~~CAKI BOOKS EDITORA LTDA-ME::6~~L&PM EDITORES::6~~MARTINS EDITORA LIVRARIA LTDA::5,
2010,0 - Generalidades,AMBAS,BRASIL,FRANCÉS,86,PORTUGUÉS::86,EDITORA SCIPIONE::22~~EDITORA WMF MARTINS FONTES::19~~L&PM EDITORES::14~~MARTINS EDITORA LIVRARIA LTDA::8~~REVIC EDITORIAL LTDA::4,
2010,0 - Generalidades,AMBAS,BRASIL,INGLÉS,1181,PORTUGUÉS::1179~~PAHLAVI::1~~PRÁCRITO::1,EDITORA HR LTDA::692~~EDITORA INTRINSECA::56~~EDITORA LANDMARK LTDA::46~~EDITORA SCIPIONE::43~~EDITORA WMF MARTINS FONTES::35,
2010,0 - Generalidades,AMBAS,BRASIL,ITALIANO,18,PORTUGUÉS::18,NASTARI EDITORES LTDA::7~~EDITORA WMF MARTINS FONTES::3~~EDITORA INTRINSECA::2~~EDITORA LANDMARK LTDA::1~~LEOPARDO EDITORA LTDA::1,
2010,0 - Generalidades,AMBAS,BRASIL,JAPONÉS,108,PORTUGUÉS::108,JAPORAMA EDITORA E COMUNICACAO::105~~EDITORA BRASIL SEIKYO LTDA::2~~MARTINS EDITORA LIVRARIA LTDA::1,
2010,0 - Generalidades,AMBAS,BRASIL,LATÍN,2,PORTUGUÉS::2,EDITORA WMF MARTINS FONTES::1~~L&PM EDITORES::1,
2010,0 - Generalidades,AMBAS,BRASIL,LENGUA NO DETERMINADA,107,LENGUA NO DETERMINADA::107,EDITORA HR LTDA::9~~EDITORA BOCCATO LTDA-EPP::7~~EDITORA WMF MARTINS FONTES::7~~EDITORA SCIPIONE::6~~RAI EDITORA E PROJETOS EDITORIAIS LTDA-ME::6,
2010,0 - Generalidades,AMBAS,BRASIL,PORTUGUÉS,55,INGLÉS::38~~ESPAÑOL::15~~ALEMÁN::1~~MULTILINGÜE::1,EDITORA HR LTDA::13~~CENTRO DIFUSOR DE CULTURA LTDA::5~~EDITORA CIDADE VIVA LTDA-ME::3~~EDITORA DUFAUX LTDA::3~~FUNDACAO ESCOLA NACIONAL DE SEGUROS EDITORA::3,
2010,0 - Generalidades,AMBAS,BRASIL,RUSO,6,PORTUGUÉS::6,EDITORA SCIPIONE::3~~L&PM EDITORES::2~~EDITORA WMF MARTINS FONTES::1,
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,ALEMÁN,1,ESPAÑOL::1,PANAMERICANA LIBRERIA Y PAPELERIA::1,GENERALIDADES::1
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,AYMARA,1,ESPAÑOL::1,GRUPO EDITORIAL KIPUS::1,GENERALIDADES::1
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,ESPAÑOL,79,ESPAÑOL::48~~MULTILINGÜE::13~~INGLÉS::10~~PORTUGUÉS::3~~CHINO::2,"EDICIONES CAIC::31~~CONTINENTE EDITORES S.A.::7~~UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::5~~ACEVEDO MARIN, VERONICA::4~~CADIEX INTERNACIONAL::4",GENERALIDADES::47~~En inglés::5~~Conocimiento::4~~Obras enciclopédicas generales::4~~Crónicas y temas especiales::3
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,FRANCÉS,22,ESPAÑOL::22,EDICIONES LAROUSSE::16~~AM EDITORES::1~~GRUPO EDITORIAL PATRIA::1~~GRUPO PLANETA::1~~PENGUIN RANDOM HOUSE::1,Obras enciclopédicas generales::7~~Crónicas y temas especiales::2~~Conocimientos controversiales::1~~GENERALIDADES::1~~Investigación::1
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,INGLÉS,100,ESPAÑOL::99~~INGLÉS::1,PEARSON::34~~EDITORIAL AMEREIDA S.A.::17~~PANAMERICANA LIBRERIA Y PAPELERIA::9~~GRUPO PLANETA::7~~CENGAGE LEARNING::6,Obras enciclopédicas generales::19~~GENERALIDADES::18~~Programación. programas. datos de computadores::17~~Teoría de la comunicación y el control  Cibernética::17~~Medios documentales. medios educativos. medios noticiosos::7
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,ITALIANO,7,ESPAÑOL::7,SOCIEDAD DE SAN PABLO::6~~PENGUIN RANDOM HOUSE::1,Lectura y uso de otros medios de información para gente joven::3~~Reseñas::2~~GENERALIDADES::1~~Intereses generales en lectura::1
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,LATÍN,2,ESPAÑOL::2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::2,Bibliotecas universitarias::2
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,LENGUA NO DETERMINADA,3,MULTILINGÜE::3,EDICIONES GAMMA S.A.::1~~TRAGALUZ EDITORES S.A.S.::1~~UNIVERSIDAD DE GUADALAJARA::1,Crónicas y temas especiales::1~~Investigación::1~~Medios de difusión::1
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,PORTUGUÉS,6,ESPAÑOL::6,BETH SHALOM::4~~EDITORIAL NUEVA PALABRA::1~~SOCIEDAD DE SAN PABLO::1,GENERALIDADES::5~~Crónicas y temas especiales::1
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,QUECHUA,2,ESPAÑOL::2,GRUPO EDITORIAL KIPUS::2,GENERALIDADES::2
2010,0 - Generalidades,AMBAS,RESTO DE LATAM,RUSO,1,ESPAÑOL::1,EDICIONES ALARCOS::1,GENERALIDADES::1
2010,0 - Generalidades,AUTOR-EDITOR,BRASIL,INGLÉS,1,PORTUGUÉS::1,ELIANE GALLUCCI-ME::1,
2010,0 - Generalidades,AUTOR-EDITOR,BRASIL,LATÍN,1,PORTUGUÉS::1,VICTOR PELEGRINI::1,
2010,0 - Generalidades,AUTOR-EDITOR,BRASIL,PORTUGUÉS,1,ESPAÑOL::1,VALERIA GARCIA PEREIRA GIMENO RIO PRETO-ME::1,
