PAIS,ANO,DEWEY PRINCIPAL,ESCENARIO,IDIOMA DE ORIGEN,IDIOMA PUBLICACION,EDITORIAL,CANTIDAD
Argentina,2016,0 - Generalidades,espanol,FRANCÉS,ESPAÑOL,CONFEDERACION ESPIRITISTA ARGENTINA,1
Argentina,2016,0 - Generalidades,espanol,FRANCÉS,ESPAÑOL,EDHASA,1
Argentina,2016,0 - Generalidades,espanol,FRANCÉS,ESPAÑOL,GRUPO PLANETA,1
Argentina,2016,0 - Generalidades,espanol,INGLÉS,ESPAÑOL,CERTEZA ARGENTINA,1
Argentina,2016,0 - Generalidades,espanol,INGLÉS,ESPAÑOL,GRUPO PLANETA,2
Argentina,2016,0 - Generalidades,espanol,INGLÉS,ESPAÑOL,LOSADA,1
Argentina,2016,0 - Generalidades,espanol,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,0 - Generalidades,espanol,INGLÉS,ESPAÑOL,PENIEL,1
Argentina,2016,0 - Generalidades,espanol,NEERLANDÉS,ESPAÑOL,EL CUENCO DE PLATA,1
Argentina,2016,0 - Generalidades,espanol,NEERLANDÉS,ESPAÑOL,ETERNA CADENCIA,1
Argentina,2016,0 - Generalidades,espanol,NEERLANDÉS,ESPAÑOL,PROMETEO EDITORES,1
Argentina,2016,0 - Generalidades,espanol,POLACO,ESPAÑOL,EL CUENCO DE PLATA,1
Argentina,2016,0 - Generalidades,espanol,POLACO,ESPAÑOL,HORIZONTES BALDIO,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,ESPAÑOL,CERTEZA ARGENTINA,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,ESPAÑOL,GRUPO PLANETA,2
Argentina,2016,0 - Generalidades,ingles,INGLÉS,ESPAÑOL,LOSADA,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,ESPAÑOL,PENIEL,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,INGLÉS,ASOCIACION MUSEO EVITA,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,INGLÉS,PENGUIN RANDOM HOUSE,1
Argentina,2016,0 - Generalidades,ingles,INGLÉS,PORTUGUÉS,ASOCIACION MUSEO EVITA,1
Argentina,2016,100 - Filosofía y psicología,espanol,FRANCÉS,ESPAÑOL,CACTUS,4
Argentina,2016,100 - Filosofía y psicología,espanol,FRANCÉS,ESPAÑOL,CAPITAL INTELECTUAL,6
Argentina,2016,100 - Filosofía y psicología,espanol,FRANCÉS,ESPAÑOL,CONFEDERACION ESPIRITISTA ARGENTINA,2
Argentina,2016,100 - Filosofía y psicología,espanol,FRANCÉS,ESPAÑOL,GRUPO PLANETA,6
Argentina,2016,100 - Filosofía y psicología,espanol,FRANCÉS,ESPAÑOL,PROMETEO EDITORES,4
Argentina,2016,100 - Filosofía y psicología,espanol,GRIEGO MODERNO,ESPAÑOL,GRADIFCO,1
Argentina,2016,100 - Filosofía y psicología,espanol,INGLÉS,ESPAÑOL,CONTINENTE,5
Argentina,2016,100 - Filosofía y psicología,espanol,INGLÉS,ESPAÑOL,EGODOT ARGENTINA,5
Argentina,2016,100 - Filosofía y psicología,espanol,INGLÉS,ESPAÑOL,GRUPO PLANETA,3
Argentina,2016,100 - Filosofía y psicología,espanol,INGLÉS,ESPAÑOL,MAHA YOGA,2
Argentina,2016,100 - Filosofía y psicología,espanol,INGLÉS,ESPAÑOL,PROMETEO EDITORES,4
Argentina,2016,100 - Filosofía y psicología,espanol,ITALIANO,ESPAÑOL,ADRIANA HIDALGO EDITORA,3
Argentina,2016,100 - Filosofía y psicología,espanol,ITALIANO,ESPAÑOL,COMUNA SOCIALISTA,1
