PAIS,ANO,DEWEY PRINCIPAL,TRADUCCIÓN,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,NO,ARTE GRAFICO EDITORIAL ARGENTINO,30
Argentina,2012,0 - Generalidades,NO,ATLANTIDA,49
Argentina,2012,0 - Generalidades,NO,CENTRO TECNOLOGICO DE ENTRENAMIENTO Y CAPACITACION - CTEC,100
Argentina,2012,0 - Generalidades,NO,EDITORIAL SUDAMERICANA,74
Argentina,2012,0 - Generalidades,NO,FOX ANDINA S.A.,46
Argentina,2012,0 - Generalidades,SÍ,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,SÍ,ESENCIA,3
Argentina,2012,0 - Generalidades,SÍ,GRANICA,1
Argentina,2012,0 - Generalidades,SÍ,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,SÍ,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,NO,"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",59
Argentina,2012,100 - Filosofía y psicología,NO,EDICION DEL AUTOR,71
Argentina,2012,100 - Filosofía y psicología,NO,EDITORIAL SUDAMERICANA,75
Argentina,2012,100 - Filosofía y psicología,NO,EL ARTE DE VIVIR,73
Argentina,2012,100 - Filosofía y psicología,NO,ESENCIA,66
Argentina,2012,100 - Filosofía y psicología,SÍ,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,SÍ,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,SÍ,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,SÍ,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,SÍ,SIGLO XXI EDITORES,7
Argentina,2012,200 - Religión,NO,AGAPE LIBROS,41
Argentina,2012,200 - Religión,NO,EDICION DEL AUTOR,45
Argentina,2012,200 - Religión,NO,EDITORIAL SUDAMERICANA,36
Argentina,2012,200 - Religión,NO,PENIEL,44
Argentina,2012,200 - Religión,NO,SAN PABLO,56
Argentina,2012,200 - Religión,SÍ,ANTROPOSOFICA,15
Argentina,2012,200 - Religión,SÍ,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2012,200 - Religión,SÍ,BNEI SHOLEM,7
Argentina,2012,200 - Religión,SÍ,EDITORIAL SUDAMERICANA,89
Argentina,2012,200 - Religión,SÍ,PENIEL,31
Argentina,2012,300 - Ciencias sociales,NO,ABELEDO PERROT,196
Argentina,2012,300 - Ciencias sociales,NO,ARTE GRAFICO EDITORIAL ARGENTINO,122
Argentina,2012,300 - Ciencias sociales,NO,EDICION DEL AUTOR,205
Argentina,2012,300 - Ciencias sociales,NO,GRUPO SANTILLANA,335
Argentina,2012,300 - Ciencias sociales,NO,LA LEY,233
Argentina,2012,300 - Ciencias sociales,SÍ,ANTROPOSOFICA,6
Argentina,2012,300 - Ciencias sociales,SÍ,EDITORIAL GUADAL,8
Argentina,2012,300 - Ciencias sociales,SÍ,GRUPO PAIDOS,17
Argentina,2012,300 - Ciencias sociales,SÍ,SIGLO XXI EDITORES,11
Argentina,2012,300 - Ciencias sociales,SÍ,UNIVERSIDAD DE PALERMO - UP,8
Argentina,2012,400  - Lenguas,NO,BIBLOS,3
Argentina,2012,400  - Lenguas,NO,COMUNIC-ARTE,9
Argentina,2012,400  - Lenguas,NO,DE LA FACULTAD DE FILOSOFIA Y LETRAS UNIVERSIDAD DE BUENOS AIRES,4
Argentina,2012,400  - Lenguas,NO,EDUCO - UNIVERSIDAD NACIONAL DEL COMAHUE,4
Argentina,2012,400  - Lenguas,NO,MALLEA,4
Argentina,2012,400  - Lenguas,SÍ,LOSADA,1
Argentina,2012,400  - Lenguas,SÍ,SHOLEM BUENOS AIRES,1
Argentina,2012,400 - Lenguas,NO,ARTE GRAFICO EDITORIAL ARGENTINO,70
Argentina,2012,400 - Lenguas,NO,GRUPO SANTILLANA,133
Argentina,2012,400 - Lenguas,NO,HUB EDITORIAL,57
Argentina,2012,400 - Lenguas,NO,MACMILLAN,24
Argentina,2012,400 - Lenguas,NO,PEARSON,31
Argentina,2012,400 - Lenguas,SÍ,AZ EDITORA S.A.,3
Argentina,2012,400 - Lenguas,SÍ,DEL CALDERON,1
Argentina,2012,400 - Lenguas,SÍ,ESENCIA,4
Argentina,2012,400 - Lenguas,SÍ,GALERNA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,NO,ARTE GRAFICO EDITORIAL ARGENTINO,22
Argentina,2012,500 - Ciencias naturales y matemáticas,NO,EDICION DEL AUTOR,18
Argentina,2012,500 - Ciencias naturales y matemáticas,NO,EUDEBA,14
Argentina,2012,500 - Ciencias naturales y matemáticas,NO,GRUPO SANTILLANA,69
Argentina,2012,500 - Ciencias naturales y matemáticas,NO,UNIVERSIDAD NACIONAL DE LA PLATA,22
Argentina,2012,500 - Ciencias naturales y matemáticas,SÍ,ANTROPOSOFICA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,SÍ,CATAPULTA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,SÍ,DE LA CAMPANA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,SÍ,EDITORIAL SUDAMERICANA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,SÍ,GRUPO PAIDOS,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO,ARTE GRAFICO EDITORIAL ARGENTINO,97
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO,EDICION DEL AUTOR,74
Argentina,2012,600 - Tecnología (Ciencias aplicadas),NO,EDICIONES LEA,183
