PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,NOMBRE DEWEY,CANTIDAD,TOP_IDIOMAS,TOP_EDITORIALES
Argentina,2012,0 - Generalidades,AMBAS,Crónicas y temas especiales,2,LENGUA NO DETERMINADA::2,EDITORIAL SUDAMERICANA::1~~ESENCIA::1
Argentina,2012,0 - Generalidades,AMBAS,Periodismo,1,LENGUA NO DETERMINADA::1,ESENCIA::1
Argentina,2012,0 - Generalidades,AMBAS,Programación. programas. datos de computadores,3,LENGUA NO DETERMINADA::3,GRANICA::1~~GRUPO PAIDOS::1~~UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO::1
Argentina,2012,0 - Generalidades,AMBAS,SIN IDENTIFICAR,1,LENGUA NO DETERMINADA::1,ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,Crónicas y temas especiales,2,LENGUA NO DETERMINADA::2,EDITORIAL SUDAMERICANA::1~~ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,Periodismo,1,LENGUA NO DETERMINADA::1,ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,Programación. programas. datos de computadores,2,LENGUA NO DETERMINADA::2,GRANICA::1~~GRUPO PAIDOS::1
Argentina,2012,0 - Generalidades,EDITORIAL COMERCIAL,SIN IDENTIFICAR,1,LENGUA NO DETERMINADA::1,ESENCIA::1
Argentina,2012,0 - Generalidades,EDITORIAL UNIVERSITARIA,Programación. programas. datos de computadores,1,LENGUA NO DETERMINADA::1,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO::1
Argentina,2012,0 - Generalidades,TODOS,Crónicas y temas especiales,2,LENGUA NO DETERMINADA::2,EDITORIAL SUDAMERICANA::1~~ESENCIA::1
Argentina,2012,0 - Generalidades,TODOS,Periodismo,1,LENGUA NO DETERMINADA::1,ESENCIA::1
Argentina,2012,0 - Generalidades,TODOS,Programación. programas. datos de computadores,3,LENGUA NO DETERMINADA::3,GRANICA::1~~GRUPO PAIDOS::1~~UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO::1
Argentina,2012,0 - Generalidades,TODOS,SIN IDENTIFICAR,1,LENGUA NO DETERMINADA::1,ESENCIA::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,Epistemología (Teoría del conocimiento),1,LENGUA NO DETERMINADA::1,DEL SOL::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,Fenómenos paranormales,2,LENGUA NO DETERMINADA::2,KIER::2
Argentina,2012,100 - Filosofía y psicología,AMBAS,Filosofía antigua. medieval. oriental,2,LENGUA NO DETERMINADA::2,LAS CUARENTA::1~~LOSADA::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,Filosofía de las Islas Británicas,1,LENGUA NO DETERMINADA::1,LOSADA::1
Argentina,2012,100 - Filosofía y psicología,AMBAS,Filosofía moderna occidental,23,LENGUA NO DETERMINADA::23,CACTUS::3~~FONDO DE CULTURA ECONOMICA MEXICO::3~~GODOT ARGENTINA::3~~TERRAMAR::3~~SIGLO XXI EDITORES::2
Argentina,2012,100 - Filosofía y psicología,AMBAS,Filosofía y teoría de la psicología,1,LENGUA NO DETERMINADA::1,GRUPO PAIDOS::1
