PAIS,ANO,DEWEY PRINCIPAL,DECILE_LABEL,DECILE_ORDER,IDIOMA_ORIGEN,CANTIDAD_OBRAS_IDIOMA,PROMEDIO_REGISTROS,DESVIACION_ESTANDAR,CANTIDAD_EDITORIALES
Argentina,2012,0 - Generalidades,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,0 - Generalidades,70% - 80%,8,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,0 - Generalidades,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,5,1.67,1.15,3
Argentina,2012,100 - Filosofía y psicología,10% - 20%,2,LENGUA NO DETERMINADA,9,1.8,1.1,5
Argentina,2012,100 - Filosofía y psicología,20% - 30%,3,LENGUA NO DETERMINADA,15,2.14,1.46,7
Argentina,2012,100 - Filosofía y psicología,30% - 40%,4,LENGUA NO DETERMINADA,7,1.75,0.96,4
Argentina,2012,100 - Filosofía y psicología,40% - 50%,5,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,100 - Filosofía y psicología,50% - 60%,6,LENGUA NO DETERMINADA,5,1.67,0.58,3
Argentina,2012,100 - Filosofía y psicología,70% - 80%,8,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2012,100 - Filosofía y psicología,80% - 90%,9,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,100 - Filosofía y psicología,Larga Cola,10,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,100 - Filosofía y psicología,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,63,6.3,6.85,10
Argentina,2012,200 - Religión,10% - 20%,2,LENGUA NO DETERMINADA,14,4.67,3.21,3
Argentina,2012,200 - Religión,20% - 30%,3,LENGUA NO DETERMINADA,4,2.0,1.41,2
Argentina,2012,200 - Religión,30% - 40%,4,LENGUA NO DETERMINADA,7,2.33,0.58,3
Argentina,2012,200 - Religión,40% - 50%,5,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,200 - Religión,50% - 60%,6,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,200 - Religión,60% - 70%,7,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2012,200 - Religión,70% - 80%,8,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,200 - Religión,80% - 90%,9,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,200 - Religión,Larga Cola,10,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,200 - Religión,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,137,27.4,36.59,5
Argentina,2012,300 - Ciencias sociales,10% - 20%,2,LENGUA NO DETERMINADA,14,3.5,3.11,4
Argentina,2012,300 - Ciencias sociales,20% - 30%,3,LENGUA NO DETERMINADA,15,2.14,0.9,7
Argentina,2012,300 - Ciencias sociales,30% - 40%,4,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,300 - Ciencias sociales,40% - 50%,5,LENGUA NO DETERMINADA,10,2.0,0.71,5
Argentina,2012,300 - Ciencias sociales,50% - 60%,6,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2012,300 - Ciencias sociales,60% - 70%,7,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,300 - Ciencias sociales,70% - 80%,8,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,300 - Ciencias sociales,80% - 90%,9,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,300 - Ciencias sociales,Larga Cola,10,LENGUA NO DETERMINADA,2,1.0,0.0,2
