PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,IDIOMA_ORIGEN_ST,IDIOMA_DESTINO_ST,EDITORIAL,CANTIDAD
Argentina,2016,100 - Filosofía y psicología,AMBAS,Portugués,Español,GRAMA EDICIONES,1
Argentina,2016,100 - Filosofía y psicología,EDITORIAL COMERCIAL,Portugués,Español,GRAMA EDICIONES,1
Argentina,2016,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,Portugués,Español,CONFEDERACION ESPIRITISTA ARGENTINA,1
Argentina,2016,100 - Filosofía y psicología,TODOS,Portugués,Español,CONFEDERACION ESPIRITISTA ARGENTINA,1
Argentina,2016,100 - Filosofía y psicología,TODOS,Portugués,Español,GRAMA EDICIONES,1
Argentina,2016,200 - Religión,AMBAS,Portugués,Español,ASOCIACION CASA EDITORA SUDAMERICANA,20
Argentina,2016,200 - Religión,AMBAS,Portugués,Español,GRUPO PLANETA,1
Argentina,2016,200 - Religión,EDITORIAL COMERCIAL,Portugués,Español,ASOCIACION CASA EDITORA SUDAMERICANA,20
Argentina,2016,200 - Religión,EDITORIAL COMERCIAL,Portugués,Español,GRUPO PLANETA,1
Argentina,2016,200 - Religión,TODOS,Portugués,Español,ASOCIACION CASA EDITORA SUDAMERICANA,20
Argentina,2016,200 - Religión,TODOS,Portugués,Español,GRUPO PLANETA,1
Argentina,2016,300 - Ciencias sociales,AMBAS,Portugués,Español,EDUNLU,1
Argentina,2016,300 - Ciencias sociales,AMBAS,Portugués,Español,LIMONERO,2
Argentina,2016,300 - Ciencias sociales,AMBAS,Portugués,Español,SB,2
Argentina,2016,300 - Ciencias sociales,AMBAS,Portugués,Español,SIGLO XXI EDITORES,2
Argentina,2016,300 - Ciencias sociales,AMBAS,Portugués,Español,UNSAMEDITA,3
Argentina,2016,300 - Ciencias sociales,EDITORIAL COMERCIAL,Portugués,Español,LIMONERO,2
Argentina,2016,300 - Ciencias sociales,EDITORIAL COMERCIAL,Portugués,Español,QUIPU,1
Argentina,2016,300 - Ciencias sociales,EDITORIAL COMERCIAL,Portugués,Español,RGC LIBROS,1
Argentina,2016,300 - Ciencias sociales,EDITORIAL COMERCIAL,Portugués,Español,SB,2
Argentina,2016,300 - Ciencias sociales,EDITORIAL COMERCIAL,Portugués,Español,SIGLO XXI EDITORES,2
Argentina,2016,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,Portugués,Español,EDUNLU,1
Argentina,2016,300 - Ciencias sociales,EDITORIAL UNIVERSITARIA,Portugués,Español,UNSAMEDITA,3
Argentina,2016,300 - Ciencias sociales,TODOS,Portugués,Español,EDUNLU,1
Argentina,2016,300 - Ciencias sociales,TODOS,Portugués,Español,LIMONERO,2
Argentina,2016,300 - Ciencias sociales,TODOS,Portugués,Español,SB,2
Argentina,2016,300 - Ciencias sociales,TODOS,Portugués,Español,SIGLO XXI EDITORES,2
Argentina,2016,300 - Ciencias sociales,TODOS,Portugués,Español,UNSAMEDITA,3
Argentina,2016,600 - Tecnología (Ciencias aplicadas),AMBAS,Portugués,Español,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),AMBAS,Portugués,Español,EDITORIAL MEDICA PANAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),AMBAS,Portugués,Español,HEMISFERIO SUR,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),AMBAS,Portugués,Español,LUGAR EDITORIAL,1
