PAIS,ANO,DEWEY PRINCIPAL,IDIOMA DE ORIGEN,IDIOMA PUBLICACION,EDITORIAL,CANTIDAD
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,1
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,3
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRANICA,1
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,7
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,15
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,BNEI SHOLEM,7
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,89
Argentina,2012,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PENIEL,31
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,6
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,8
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,17
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,11
Argentina,2012,300 - Ciencias sociales,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD DE PALERMO - UP,8
Argentina,2012,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LOSADA,1
Argentina,2012,400  - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SHOLEM BUENOS AIRES,1
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AZ EDITORA S.A.,3
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DEL CALDERON,1
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,4
Argentina,2012,400 - Lenguas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GALERNA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,DE LA CAMPANA,1
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,2
Argentina,2012,500 - Ciencias naturales y matemáticas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,8
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL MEDICA PANAMERICANA,12
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,9
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,INTER-MEDICA,6
Argentina,2012,600 - Tecnología (Ciencias aplicadas),LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,READER'S DIGEST ARGENTINA S.R.L.,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CYPRES,4
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LARP EDITORES,2
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,OVNI PRESS,41
Argentina,2012,700 - Las Artes  Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,BARCELBAIRES EDICIONES S.A.,4
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,23
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CYPRES,5
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,16
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PLANETA DE AGOSTINI,6
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,79
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,138
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,104
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,LOSADA,42
Argentina,2012,800 - Literatura y retórica,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,V & R EDITORAS S.A.,49
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ANTROPOSOFICA,7
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CATAPULTA,2
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICION DEL AUTOR,2
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,7
Argentina,2012,900 - Geografía e historia,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,TUSQUETS EDITORES,4
Argentina,2012,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION BUDISTA - IBPS ARGENTINA,1
Argentina,2012,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL GUADAL,2
Argentina,2012,SIN IDENTIFICAR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,WINOGRAD,1
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION EDUCACIONISTA ARGENTINA,2
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDICIONES GRANICA S.A.,1
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,2
Argentina,2013,0 - Generalidades,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,1
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,AMORRORTU EDITORES S.A.,10
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPAL LOGISTICA Y DISTRIBUIDORA S.A.,11
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,13
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"IRES, PABLO ARIEL",6
Argentina,2013,100 - Filosofía y psicología,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,30
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION BUDISTA - IBPS ARGENTINA,6
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ASOCIACION CIVIL PERSPECTIVAS BET MIDRASH,5
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,85
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,"GARCIA, RUFINO",14
Argentina,2013,200 - Religión,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,PRODUCCIONES PENIEL S.R.L.,29
